USER IDENTITY,USER ADDRESS,PRAISE_REWARD,QUANT_REWARD,NR_OF_PRAISES_QUANTIFIED,REWARDBOARD_REWARD,TOTAL TO RECEIVE
Amin#2164,0xf23ea0b5f14afcbe532a1df273f7b233ebe41c78,939.7442039207341,0.0,0.0,0.0,939.7442039207341
hannahjojo,missing user address,918.8949597635892,0.0,0.0,0.0,918.8949597635892
karmaticacid#1218,0xc46c67bb7e84490d7ebdd0b8ecdaca68cf3823f4,803.7765676791652,54.81819650067295,44.0,0.0,858.5947641798381
"Griff (💜,💜)#8888",0x839395e20bbb182fa440d08f850e6c7a8f6f0780,789.5423193121931,0.0,0.0,0.0,789.5423193121931
Ramin#4479,0x10a84b835c5df26f2a380b3e00bcc84a66cd2d34,765.396493094599,0.0,0.0,0.0,765.396493094599
MoeNick#1374,0xa4d506434445bb7303ea34a07bc38484cdc64a95,752.5594715611946,0.0,0.0,0.0,752.5594715611946
markop#2007,0x6d97d65adff6771b31671443a6b9512104312d3d,633.0529139525967,0.0,0.0,0.0,633.0529139525967
WhyldWanderer#7002,0xed8db37778804a913670d9367aaf4f043aad938b,539.4823794421015,85.96489905787348,69.0,0.0,625.447278499975
freshelle#9882,0x38f80f8f76b1c44b2beefb63bb561f570fb6ddb6,495.3605758383426,54.81819650067295,44.0,0.0,550.1787723390155
divine_comedian#5493,0x826976d7c600d45fb8287ca1d7c76fc8eb732030,448.85912028366346,39.86777927321669,32.0,0.0,488.72689955688014
mateodaza#3156,0x00d18ca9782be1caef611017c2fbc1a39779a57c,289.53159791838254,82.22729475100942,66.0,79.34400000000001,451.10289266939196
Cherik#4711,0x8f48094a12c8f99d616ae8f3305d5ec73cbaa6b6,428.512004519832,0.0,0.0,0.0,428.512004519832
mohammad_ranjbar_z#2709,0x2ea846dc38c6b6451909f1e7ff2bf613a96dc1f3,413.60097440535037,0.0,0.0,0.0,413.60097440535037
Mo 🤖#0356,0x17c8020de84d4097b01387823f9d33ff8e62577c,395.1532138684002,0.0,0.0,0.0,395.1532138684002
Danibelle the Uno and Only#6791,0x5d28fe1e9f895464aab52287d85ebff32b351674,219.03713783103092,34.8843068640646,28.0,79.34400000000001,333.26544469509554
Rodricast#1415,0xb0ddea60ae36efa8c298b46ab342309fdffd66cf,296.9325338024371,0.0,0.0,0.0,296.9325338024371
🌈 🧻chair 🌈 🧻,missing user address,288.37451944683414,0.0,0.0,0.0,288.37451944683414
"sem(🌸,🐝)#0161",0xf632ce27ea72dea30d30c1a9700b6b3bceaa05cf,268.0055720137282,0.0,0.0,0.0,268.0055720137282
Carlos096#8712,0x317bbc1927be411cd05615d2ffdf8d320c6c4052,250.47474158630695,0.0,0.0,0.0,250.47474158630695
fabri 🐝,missing user address,240.69415375133218,0.0,0.0,0.0,240.69415375133218
0xJoshua | Opolis | RainbowRolls,missing user address,240.14836201946974,0.0,0.0,0.0,240.14836201946974
invocamanman,missing user address,201.79011910417807,0.0,0.0,0.0,201.79011910417807
willyfox#1178,0x05a1ff0a32bc24265bcb39499d0c5d9a6cb2011c,198.58086372082698,0.0,0.0,0.0,198.58086372082698
Donna.Ofi,missing user address,154.89569350255798,0.0,0.0,0.0,154.89569350255798
eduadiez#9314,missing user address,140.59595012776228,0.0,0.0,0.0,140.59595012776228
hanners717#2022,0x711cdabcfdedef2c82d9da533268d8bb6b7468f8,62.22025743231716,74.75208613728128,60.0,0.0,136.97234356959845
ClaraZi#5313,0xa9ccd6b0919e43fd7cfc990572e43c3cf6a17397,0.0,51.08059219380888,41.0,79.34400000000001,130.4245921938089
Fábio,missing user address,129.5272938055922,0.0,0.0,0.0,129.5272938055922
Nikola Creatrix#5026,0x9924285ff2207d6e36642b6832a515a6a3aedcab,0.0,44.851251682368776,36.0,79.34400000000001,124.19525168236879
launchninja,missing user address,100.42567866268735,0.0,0.0,0.0,100.42567866268735
gabi,missing user address,97.26008661788525,0.0,0.0,0.0,97.26008661788525
geleeroyale#3228,0x701d0ecb3ba780de7b2b36789aec4493a426010a,45.84650547644422,41.11364737550471,33.0,0.0,86.96015285194893
missing username,0x4f8f884c40c98c593e0f82ef4d93d994ce4125aa,0.0,0.0,0.0,79.34400000000001,79.34400000000001
r33pich33p#6906,missing user address,64.05411765137492,0.0,0.0,0.0,64.05411765137492
tropicalmango#3240,0xcfd2e56ba5b450de43e9b1dfa81bfb0222d3f04e,0.0,59.80166890982503,48.0,0.0,59.80166890982503
toraif#4775,0xe628534eaafd27ae8c98e02967586fad4cc70152,0.0,59.80166890982503,48.0,0.0,59.80166890982503
fuscia,0xa0bafc36de86d1a64e3f2d01e052a3a2c1487e83,0.0,58.55580080753701,47.0,0.0,58.55580080753701
Almond | oyealmond#7049,0x0d22735de6d34dc2ed5efdbc2f30d7aa8e2b9f8e,0.0,51.08059219380888,41.0,0.0,51.08059219380888
Dr. Suga#8514,0x2fee53687906ba239602ed42cceee2ac8a4ada36,0.0,51.08059219380888,41.0,0.0,51.08059219380888
theycallmejones,missing user address,43.663338548994496,0.0,0.0,0.0,43.663338548994496
cuidadopeligro#4788,0x8132505baedbaa7320b8f2340f65976edc0e8fbc,0.0,43.60538358008075,35.0,0.0,43.60538358008075
crusher,missing user address,40.03928144942795,0.0,0.0,0.0,40.03928144942795
thesmith | ShapeShift DAO,missing user address,38.205421230370185,0.0,0.0,0.0,38.205421230370185
Nicbals#2154,0xd9d5d85b2682830ac58a78c279e0c177953738b4,0.0,37.37604306864064,30.0,0.0,37.37604306864064
willjgriff 🐝,missing user address,37.113837766645325,0.0,0.0,0.0,37.113837766645325
MikeAnanyin[TheWayofTheDAO],missing user address,27.660724970788014,0.0,0.0,0.0,27.660724970788014
Nicklas | The Way of The DAO,missing user address,24.014836201946974,0.0,0.0,0.0,24.014836201946974
JellyDiver,missing user address,15.282168492148076,0.0,0.0,0.0,15.282168492148076
graymachine#0976,missing user address,13.819446650756758,0.0,0.0,0.0,13.819446650756758
_lunahawk,missing user address,13.819446650756758,0.0,0.0,0.0,13.819446650756758
anson parker | utc -4,missing user address,13.819446650756758,0.0,0.0,0.0,13.819446650756758
sudhithxavier,missing user address,9.453112795857308,0.0,0.0,0.0,9.453112795857308
Bowen,missing user address,4.36633385489945,0.0,0.0,0.0,4.36633385489945
Pythagorean,missing user address,3.6458887688410404,0.0,0.0,0.0,3.6458887688410404
metaverde,missing user address,2.183166927449725,0.0,0.0,0.0,2.183166927449725
akahux,missing user address,2.183166927449725,0.0,0.0,0.0,2.183166927449725
